Si


__________________________________________________________________________________________
            LABORATORIO DE DIAGNOSTICO VETERINARIO VILLA MARIA
                                                        
    Alsina y Salgado - Tel:02227-422805/2227580395 - B7240INJ  Lobos (Bs.As.)   
   e-mail : lobos@labvima.com.ar         
                         INFORME  DE  RESULTADOS                                

Informe Nº      :   168254                                    Especie (**): BOVINO                        
Profesional(**) : Asoc. Rural de Chivilcoy - ECLO Nº 67    Inscripción(**):   0-   0- 0
Propietario(**) : Divita Marina                             Fecha de Ingr.:13/01/2025
Domicilio  (**) :  Mercedes                                  Fecha Proceso :13/01/2025
Muestra Recibida: Leche                             Muestras Recibidas(**): 597
(**) Información suministrada por el cliente.

CALIDAD DE LECHE - Composición - Espectrofotometría Infrarroja - ISO 9622:2013/IDF141:2013.
CALIDAD DE LECHE - Recuento de Células Somáticas-Fluorometría Láser - ISO13366-2:2006/IDF148-2:2006.
CALIDAD DE LECHE - Recuento de Microorganismos totales a 30ºC,ISO 4833:2013-Amd1:2022.
CALIDAD DE LECHE - Recuento de Microorganismos totales-Instrumental-Citometría Láser
CALIDAD DE LECHE - Determinación del punto de Congelación(Crioscopía)-Instrumental - ISO 5764:2009(E)-IDF 108:2009(E)
CALIDAD DE LECHE - Determinación de MUN  - Instrumental - Enzimático     
__________________________________________________________________________________________
           M  G    Protei  Lacto  S  T    R C S   R M    Crioscopía Inhib Bruc. MUN   
Identif  g/100ml g/100ml g/100ml  g/100ml cél/ml  ufc/ml    mºC              mg/dl  
                                          x 1000  x 1000                              
__________________________________________________________________________________________
         1  3.68    3.39   4.98   12.63      153                                   
         2  3.68    3.41   4.99   12.64      230                                   
         3  4.28    3.22   4.93   12.92      258                                   
         4  4.36    3.17   4.91   12.91     2719                                   
         5  4.49    3.10   4.89   12.91     3869                                   
         6  4.52    3.11   4.89   12.95      558                                   
         7  4.56    3.05   4.88   12.89      165                                   
         8  4.57    3.07   4.89   12.95      438                                   
         9  4.57    3.07   4.87   12.91       33                                   
        10  4.65    3.04   4.87   12.98     1148                                   
        11  5.02    3.08   4.79   13.29       60                                   
        12  5.23    3.83   4.70   14.27      127                                   
        13  4.33    4.19   4.76   13.90       20                                   
        14  3.60    4.00   4.71   12.96      747                                   
        15  4.50    3.58   4.68   13.26     1161                                   
        16  6.62    3.79   4.61   15.36     1048                                   
        17  3.97    3.97   4.64   15.90     1546                                   
        18  3.53    3.96   4.63   15.84     1539                                   
        19  3.26    4.29   4.62   16.27     2394                                   
        20  3.64    4.21   4.63   15.79      305                                   
        21  3.59    4.23   4.65   15.79     1113                                   
        22  3.56    4.20   4.63   15.70     1682                                   
        23  3.45    4.17   4.64   15.59      933                                   
        24  3.16    3.69   4.64   15.22      859                                   
        25  3.14    4.09   4.63   15.18       91                                   
        26  4.88    3.89   4.62   14.92     1981                                   
        27  3.83    3.69   4.62   14.89     1576                                   
        28  4.79    4.07   4.61   14.82       54                                   
        29  3.78    3.66   4.61   14.79     1521                                   
        30  3.53    3.73   4.62   14.54       70                                   
        31  3.52    3.92   4.60   14.49      567                                   
        32  3.45    3.82   4.63   14.45      535                                   
        33  3.43    3.51   4.61   14.40      816                                   
        34  3.40    3.60   4.62   14.36     1814                                   
        35  3.28    3.98   4.62   14.22      535                                   
        36  4.08    3.92   4.60   13.91     2118                                   
        37  4.06    2.92   4.64   13.95     1409                                   
        38  3.33    3.99   4.62   14.28      462                                   
        39  4.81    3.14   4.57   14.80     1261                                   
        40  4.07    3.24   4.55   15.17      476                                   
        41  3.82    3.27   4.59   15.21      891                                   
        42  5.98    4.26   4.59   15.16      267                                   
        43  5.91    4.23   4.57   15.03     1896                                   
        44  5.92    4.26   4.59   15.08     1569                                   
        45  5.93    4.24   4.58   15.06     1534                                   
        46  5.93    4.25   4.57   15.06     2244                                   
        47  5.90    4.27   4.60   15.11      683                                   
        48  5.89    4.27   4.59   15.08      106                                   
        49  5.92    4.29   4.58   15.13     2219                                   
        50  5.91    4.27   4.59   15.11     1078                                   
        51  5.98    4.31   4.58   15.21     1220                                   
        52  6.03    4.34   4.58   15.29      570                                   
        53  6.15    4.40   4.55   15.43     1649                                   
        54  6.18    4.43   4.54   15.49      540                                   
        55  6.10    4.40   4.53   15.37     1986                                   
        56  6.55    4.45   4.50   15.82     2439                                   
        57  6.81    4.61   4.45   16.20      249                                   
        58  6.80    4.65   4.44   16.19      904                                   
        59  6.76    4.63   4.43   16.14     1720                                   
        60  6.59    4.63   4.44   15.98      202                                   
        61  6.49    4.53   4.49   15.81      167                                   
        62  6.34    4.54   4.47   15.66      242                                   
        63  6.28    4.50   4.50   15.59      955                                   
        64  6.47    4.53   4.40   15.71      470                                   
        65  6.58    4.58   4.33   15.78       87                                   
        66  6.67    4.59   4.38   15.91     2116                                   
        67  4.12    3.58   4.84   13.36      287                                   
        68  5.14    4.62   4.65   14.50      607                                   
        69  4.29    4.26   4.72   13.96     1995                                   
        70  3.56    3.77   4.46   12.55      437                                   
        71  6.33    4.24   4.36   15.47      885                                   
        72  5.52    4.67   4.63   15.55      955                                   
        73  3.45    5.18   4.46   13.98      884                                   
        74  5.14    4.26   4.52   14.60     1688                                   
        75  3.89    3.80   4.77   13.21     1154                                   
        76  3.97    3.99   4.18   12.69     1803                                   
        77  7.38    4.30   4.38   16.51      838                                   
        78  4.16    3.77   4.22   12.78     1970                                   
        79  5.58    3.93   4.36   14.35      501                                   
        80  4.39    3.66   4.50   13.22     1064                                   
        81  4.90    4.07   4.68   14.33      676                                   
        82  4.78    4.64   4.49   14.49      292                                   
        83  3.24    4.38   3.89   12.30      686                                   
        84  4.65    3.70   4.63   13.62      651                                   
        85  3.09    3.49   4.80   12.29      185                                   
        86  4.21    3.78   4.87   13.71      115                                   
        87  5.11    4.47   4.85   15.23      138                                   
        88  4.18    3.72   4.92   13.71       64                                   
        89  3.13    3.68   4.71   12.45     1921                                   
        90  4.23    3.30   4.60   13.00       82                                   
        91  3.54    3.68   4.87   13.04      307                                   
        92  5.05    4.12   4.77   14.84      118                                   
