Si


__________________________________________________________________________________________
            LABORATORIO DE DIAGNOSTICO VETERINARIO VILLA MARIA
                                                        
    Alsina y Salgado - Tel:02227-422805/2227580395 - B7240INJ  Lobos (Bs.As.)   
   e-mail : lobos@labvima.com.ar         
                         INFORME  DE  RESULTADOS                                

Informe Nº      :  2024254                                    Especie (**): BOVINO                        
Profesional(**) : Asoc. Rural de Chivilcoy - ECLO Nº 67    Inscripción(**):   0-   0- 0
Propietario(**) : Divita Marina                             Fecha de Ingr.:07/05/2025
Domicilio  (**) :  Mercedes                                  Fecha Proceso :07/05/2025
Muestra Recibida: Leche                             Muestras Recibidas(**): 655
(**) Información suministrada por el cliente.

CALIDAD DE LECHE - Composición - Espectrofotometría Infrarroja - ISO 9622:2013/IDF141:2013.
CALIDAD DE LECHE - Recuento de Células Somáticas-Fluorometría Láser - ISO13366-2:2006/IDF148-2:2006.
CALIDAD DE LECHE - Recuento de Microorganismos totales a 30ºC,ISO 4833:2013-Amd1:2022.
CALIDAD DE LECHE - Recuento de Microorganismos totales-Instrumental-Citometría Láser
CALIDAD DE LECHE - Determinación del punto de Congelación(Crioscopía)-Instrumental - ISO 5764:2009(E)-IDF 108:2009(E)
CALIDAD DE LECHE - Determinación de MUN  - Instrumental - Enzimático     
__________________________________________________________________________________________
           M  G    Protei  Lacto  S  T    R C S   R M    Crioscopía Inhib Bruc. MUN   
Identif  g/100ml g/100ml g/100ml  g/100ml cél/ml  ufc/ml    mºC              mg/dl  
                                          x 1000  x 1000                              
__________________________________________________________________________________________
         1  7.15    3.81   4.61   17.04      126                                   
         2  7.43    3.00   4.39   15.92      620                                   
         3  3.84    4.12   4.92   13.71      482                                   
         4  6.57    4.26   4.81   16.98      311                                   
         5  5.72    4.41   4.82   16.17       57                                   
         6  4.14    3.30   5.15   13.50      687                                   
         7  6.09    3.34   4.82   15.19      100                                   
         8  5.40    3.93   4.47   14.98      706                                   
         9  5.67    4.42   4.71   16.11       21                                   
        10  6.14    3.22   4.76   15.30       47                                   
        11  3.73    2.64   3.73   11.02     1774                                   
        12  5.13    3.56   4.82   14.61      437                                   
        13  5.93    4.00   4.85   16.00      222                                   
        14  4.53    3.51   5.10   14.17      110                                   
        15  7.13    3.65   4.88   16.97      110                                   
        16  5.23    4.49   4.43   15.27      220                                   
        17  3.49    3.58   5.19   13.02      155                                   
        18  4.84    3.31   4.54   13.73      324                                   
        19  6.37    4.19   4.59   16.42      200                                   
        20  6.77    4.36   4.72   17.06       93                                   
        21  4.64    3.87   4.81   14.14      171                                   
        22  6.42    3.92   4.75   16.21      225                                   
        23  8.04    3.60   4.75   17.63       73                                   
        24  3.93    3.72   4.70   13.15      513                                   
        25  5.85    4.61   4.18   15.61       92                                   
        26  5.73    4.47   4.76   16.10      140                                   
        27  4.28    3.81   5.21   14.25       46                                   
        28  6.74    3.87   4.59   16.34      232                                   
        29  4.67    3.13   4.85   13.35      185                                   
        30  6.34    3.88   4.48   15.89       97                                   
        31  5.19    4.05   4.71   15.06      652                                   
        32  5.31    3.85   4.62   14.92      782                                   
        33  4.51    3.48   5.06   14.00      263                                   
        34  5.04    4.16   4.50   14.60      494                                   
        35  4.07    3.23   4.93   13.20      243                                   
        36  6.53    4.10   4.79   16.81       20                                   
        37  5.83    3.40   4.25   14.47      251                                   
        38  4.67    3.42   4.94   14.08       21                                   
        39  3.96    3.16   4.79   12.84     1009                                   
        40  6.30    4.39   4.87   16.65      342                                   
        41  5.09    3.75   4.55   14.47      257                                   
        42  6.13    3.18   4.66   15.02      606                                   
        43  6.73    3.90   4.42   16.41      453                                   
        44  6.25    4.09   4.56   16.12      234                                   
        45  5.48    3.76   4.69   15.03      407                                   
        46  4.49    3.54   4.68   13.59      466                                   
        47  2.56    3.34   5.20   11.84      574                                   
        48  4.26    3.06   4.36   12.61     1454                                   
        49  5.97    3.47   4.76   15.19      121                                   
        50  7.42    4.71   4.53   18.02      146                                   
        51  5.50    4.12   4.53   15.25      433                                   
        52  4.77    3.28   5.08   14.06      229                                   
        53  5.16    3.66   4.74   14.59       26                                   
        54  4.65    3.01   4.59   13.35     1011                                   
        55  6.59    4.26   4.64   16.76      257                                   
        56  5.44    3.52   4.68   14.71     1022                                   
        57  4.80    3.96   4.74   14.55      316                                   
        58  5.27    3.72   4.61   14.60      698                                   
        59  5.98    4.08   4.55   15.82      837                                   
        60  5.32    3.89   4.85   15.13      486                                   
        61  5.39    3.20   4.42   14.02      824                                   
        62                                     0                                   
        63  5.79    3.98   4.82   15.71      258                                   
        64  6.10    4.13   4.61   16.10      140                                   
        65  4.20    3.44   4.52   13.10     1287                                   
        66  4.96    3.33   4.70   13.92     1029                                   
        67  4.40    3.78   4.50   13.59     1353                                   
        68  5.71    3.11   4.65   14.65      611                                   
        69  6.14    3.68   4.59   15.67      468                                   
        70  5.00    4.11   4.13   14.32      826                                   
        71  4.12    3.84   4.82   13.71      427                                   
        72  5.33    3.75   4.86   15.03      788                                   
        73  5.89    4.72   4.89   16.67      394                                   
        74  5.48    4.05   4.74   15.35      573                                   
        75  4.17    3.87   4.70   13.67     1206                                   
        76  4.95    3.92   4.45   14.38      378                                   
        77  6.04    4.36   4.13   15.74      481                                   
        78  4.18    4.00   4.76   13.82     1067                                   
        79  5.60    4.08   5.00   15.69      225                                   
        80  5.50    3.64   4.84   15.09      179                                   
        81  4.94    3.71   4.47   14.01      605                                   
        82  7.21    4.19   4.76   17.37      458                                   
        83  7.35    4.08   4.36   17.08      591                                   
        84  3.61    3.60   4.32   12.46      777                                   
        85  6.61    4.25   4.69   16.76       44                                   
        86  7.39    3.56   4.68   16.85      104                                   
        87  5.59    4.22   5.00   15.79      189                                   
        88  5.00    3.82   4.63   14.48      190                                   
        89  5.37    3.31   4.71   14.36     1428                                   
        90  5.97    3.65   4.74   15.49      534                                   
        91  5.73    4.68   4.88   16.44      304                                   
        92  4.54    3.85   4.96   14.21      791                                   
        93  5.42    3.89   4.43   14.75     1950                                   
        94  5.81    4.18   4.84   15.93      433                                   
