Id,Protocolo,Tipo Análisis,Fecha,Estado,Propietario,Profesional,Genera PDF,Descargar TXT
406006,3220264,Calidad de Leche,15-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03220264
406005,3219264,Calidad de Leche,15-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03219264
405823,3166264,Calidad de Leche,13-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03166264
405172,2991264,Microbiológico Agua,01-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=02991264
405169,2988264,Calidad de Leche,01-07-2026,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=405169,http://190.105.213.89/administracion/descargatxt.php?Id=02988264
405161,2982264,Calidad de Leche,01-07-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=405161,http://190.105.213.89/administracion/descargatxt.php?Id=02982264
404710,2855264,Calidad de Leche,24-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=404710,http://190.105.213.89/administracion/descargatxt.php?Id=02855264
404071,2715264,Calidad de Leche,17-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=404071,http://190.105.213.89/administracion/descargatxt.php?Id=02715264
403721,2624264,Calidad de Leche,10-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403721,http://190.105.213.89/administracion/descargatxt.php?Id=02624264
403427,2557264,Calidad de Leche,05-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403427,http://190.105.213.89/administracion/descargatxt.php?Id=02557264
403426,2556264,Calidad de Leche,05-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403426,http://190.105.213.89/administracion/descargatxt.php?Id=02556264
402901,2397264,Calidad de Leche,27-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402901,http://190.105.213.89/administracion/descargatxt.php?Id=02397264
402515,2298264,Calidad de Leche,20-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402515,http://190.105.213.89/administracion/descargatxt.php?Id=02298264
402514,2297264,Calidad de Leche,20-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402514,http://190.105.213.89/administracion/descargatxt.php?Id=02297264
402046,2185264,Calidad de Leche,13-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402046,http://190.105.213.89/administracion/descargatxt.php?Id=02185264
401576,2075264,Calidad de Leche,06-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401576,http://190.105.213.89/administracion/descargatxt.php?Id=02075264
401255,1978264,Calidad de Leche,29-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401255,http://190.105.213.89/administracion/descargatxt.php?Id=01978264
401254,1977264,Calidad de Leche,29-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401254,http://190.105.213.89/administracion/descargatxt.php?Id=01977264
401057,1926264,Calidad de Leche,27-04-2026,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401057,http://190.105.213.89/administracion/descargatxt.php?Id=01926264
400967,1906264,Calidad de Leche,24-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400967,http://190.105.213.89/administracion/descargatxt.php?Id=01906264
400561,1798264,Calidad de Leche,17-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400561,http://190.105.213.89/administracion/descargatxt.php?Id=01798264
400507,1748264,Calidad de Leche,15-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400507,http://190.105.213.89/administracion/descargatxt.php?Id=01748264
400027,1629264,Calidad de Leche,08-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400027,http://190.105.213.89/administracion/descargatxt.php?Id=01629264
399767,1542264,Calidad de Leche,01-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399767,http://190.105.213.89/administracion/descargatxt.php?Id=01542264
399309,1427264,Calidad de Leche,25-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399309,http://190.105.213.89/administracion/descargatxt.php?Id=01427264
399058,1365264,Calidad de Leche,20-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399058,http://190.105.213.89/administracion/descargatxt.php?Id=01365264
398573,1239264,Calidad de Leche,13-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=398573,http://190.105.213.89/administracion/descargatxt.php?Id=01239264
397911,1049264,Calidad de Leche,04-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397911,http://190.105.213.89/administracion/descargatxt.php?Id=01049264
397474,915264,Calidad de Leche,25-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397474,http://190.105.213.89/administracion/descargatxt.php?Id=00915264
397212,848264,Calidad de Leche,20-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397212,http://190.105.213.89/administracion/descargatxt.php?Id=00848264
396735,690264,Calidad de Leche,11-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=396735,http://190.105.213.89/administracion/descargatxt.php?Id=00690264
396496,618264,Calidad de Leche,06-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=396496,http://190.105.213.89/administracion/descargatxt.php?Id=00618264
395941,466264,Calidad de Leche,28-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395941,http://190.105.213.89/administracion/descargatxt.php?Id=00466264
395508,309264,Calidad de Leche,21-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395508,http://190.105.213.89/administracion/descargatxt.php?Id=00309264
395089,184264,Calidad de Leche,14-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395089,http://190.105.213.89/administracion/descargatxt.php?Id=00184264
394528,29264,Calidad de Leche,05-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=394528,http://190.105.213.89/administracion/descargatxt.php?Id=00029264
394298,6041254,Calidad de Leche,29-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=394298,http://190.105.213.89/administracion/descargatxt.php?Id=06041254
393916,5954254,Calidad de Leche,22-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393916,http://190.105.213.89/administracion/descargatxt.php?Id=05954254
393553,5875254,Calidad de Leche,17-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393553,http://190.105.213.89/administracion/descargatxt.php?Id=05875254
393099,5735254,Calidad de Leche,10-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393099,http://190.105.213.89/administracion/descargatxt.php?Id=05735254
392885,5677254,Calidad de Leche,05-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=392885,http://190.105.213.89/administracion/descargatxt.php?Id=05677254
